"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
506,370.24,511.40808,,,,ION=[M+H]+,,,219712.09,206400.07,181689.66,192496.19,213048.70,213655.33,219712.09,138309.92,187046.95
507,370.41,516.36378,,,,ION=[M+H]+,,,28446.43,22139.62,26141.59,25959.85,17242.34,23216.68,26360.48,23617.86,28446.43
508,370.74,467.38208,,,,ION=[M+H]+,,,252217.77,248269.51,233181.73,252217.77,247408.14,245182.61,248909.58,229474.66,221160.97
509,370.90,472.33736,,,,ION=[M+H]+,,,93781.96,48040.31,63300.10,53230.48,46630.24,44260.21,47036.41,49081.94,93781.96
510,371.05,238.14219,12.338,"Pentaethylene glycol","C10H22O6",ION=[M+H]+,,,76845.52,17892.62,46928.13,9566.28,21796.59,22314.99,14384.37,76845.52,49554.52
511,371.30,495.41345,,,,ION=[M+H]+,,,226838.06,84008.13,209702.98,0.00,25186.32,226838.06,207711.34,211819.11,209578.50
512,371.56,451.38684,,,,ION=[M+H]+,,,271399.47,110777.12,249521.01,31305.02,29626.86,271399.47,247102.50,250052.34,251408.17
513,371.64,423.35588,,,,ION=[M+H]+,,,238131.70,235450.84,208382.32,232546.48,235674.34,238131.70,161435.59,230237.08,233474.28
514,372.50,539.43946,,,,ION=[M+H]+,,,190829.31,68328.67,176912.10,5913.30,8243.40,190829.31,175968.95,178722.69,176044.66
515,372.76,331.95701,,,,ION=[M+H]+,,,10005.35,6363.02,1786.29,10005.35,4815.03,4268.68,1935.13,1601.46,1822.29
516,372.94,262.22917,22.411,"Farnesyl acetone","C18H30O",ION=[M+H]+,,,14508.82,354.88,13069.82,793.36,116.10,155.19,14508.82,13017.67,11682.98
517,372.96,335.30341,,,,ION=[M+H]+,,,26841.05,21493.16,23851.82,21489.01,21709.46,21281.02,26841.05,21932.40,22782.02
518,373.00,569.41314,,,,ION=[M+H]+,,,6921.36,6421.76,5583.61,5788.03,6555.91,6921.36,5364.31,5787.32,5599.20
519,373.23,363.33487,,,,ION=[M+H]+,,,34466.42,21026.01,30066.13,18330.21,22659.22,22088.61,34466.42,23584.67,32147.31
520,373.25,279.25622,14.369,"Linoleamide","C18H33NO",ION=[M+H]+,,,71719.76,1077.17,69634.12,1716.07,191.94,1323.50,71719.76,70024.75,67157.84
521,374.51,222.05670,,,,ION=[M+H]+,,,8525.87,6936.91,3385.94,6803.50,6466.86,7540.36,568.88,1063.07,8525.87
522,374.56,525.38780,,,,ION=[M+H]+,,,9309.92,5496.72,7645.24,0.00,9309.92,7180.23,6912.45,8469.42,7553.85
523,374.63,479.14904,59.393,"N-(4,6-dimethylpyrimidin-2-yl)-4-[[4-(4-propan-2-ylphenyl)-1,3-thiazol-2-yl]amino]benzenesulfonamide","C24H25N5O2S2",ION=[M+H]+,,,4561.00,3369.47,1706.90,3549.22,3284.17,3275.01,110.46,449.22,4561.00
524,374.64,296.07523,,,,ION=[M+H]+,,,14228.28,10096.98,5518.36,9406.46,10219.81,10664.68,1005.52,1321.29,14228.28
525,374.69,370.09362,,,,ION=[M+H]+,,,13179.53,9758.30,5455.56,9523.58,9919.29,9832.01,1621.99,1565.16,13179.53
526,374.75,428.08162,90.808,"3-[1-(4-chlorophenyl)-5-methyltriazol-4-yl]-N-(3,5-dimethoxyphenyl)-1,2,4-thiadiazol-5-amine","C19H17ClN6O2S",ION=[M+H]+,,,4337.49,3201.10,1693.71,2928.54,3376.71,3298.06,244.66,498.98,4337.49
527,374.88,166.04797,28.287,"7-Methylxanthine","C6H6N4O2",ION=[M+H]+,"C16353","552-62-5",5324.39,3982.48,1920.48,3926.44,4232.37,3788.64,69.30,367.74,5324.39
528,376.03,481.36056,,,,ION=[M+H]+,,,10044.64,6778.21,8311.90,2068.81,9083.09,9182.73,7032.65,7858.40,10044.64
529,376.22,737.43160,,,,ION=[M+H]+,,,278005.97,363.13,227816.41,901.69,86.57,101.13,146753.45,258689.81,278005.97
530,378.32,935.69204,,,,ION=[M+H]+,,,61802.99,34170.58,19083.67,4738.76,35969.98,61802.99,0.00,57251.00,0.00
531,378.87,337.33437,10.617,"13E-Docosenamide","C22H43NO",ION=[M+H]+,,,138324.08,52272.69,83070.91,7281.37,11212.62,138324.08,128951.65,59877.32,60383.75
532,378.95,936.19306,,,,ION=[M+H]+,,,70232.41,58621.34,42701.76,43093.81,62537.80,70232.41,61254.77,66850.52,0.00
533,379.15,806.58169,,,,ION=[M+H]+,,,43988.66,6023.50,38586.74,2587.10,9236.85,6246.54,28326.10,43445.46,43988.66
534,379.25,393.30888,,,,ION=[M+H]+,,,8100.89,5693.69,6927.22,5168.77,5576.45,6335.85,8100.89,6114.29,6566.48
535,379.31,845.57557,16.632,"HexCer 14:3;2O/32:9","C52H79NO8",ION=[M+H]+,,,5991.18,27.07,5540.85,0.00,0.00,81.22,5772.43,5991.18,4858.95
536,379.90,2179.56246,,,,ION=[M+H+H]2+,,,74854.62,49173.63,37862.90,68478.40,74854.62,4187.87,41243.36,41310.28,31035.07
537,380.22,558.50907,,,,ION=[M+H]+,,,60897.61,31627.64,13816.01,14732.91,60897.61,19252.39,17906.31,17396.91,6144.83
538,380.76,549.62042,,,,ION=[M+H]+,,,297033.00,241514.88,126107.83,297033.00,246177.64,181334.00,140301.36,124858.37,113163.77
539,380.98,1091.29186,,,,ION=[M+H]+,,,46879.30,39032.54,24689.41,34400.49,35817.82,46879.30,29572.85,44495.38,0.00
540,381.10,1959.43427,,,,ION=[M+H+H]2+,,,146482.34,89226.85,122261.04,121198.22,0.00,146482.34,134025.33,118422.52,114335.28
541,381.46,2003.45842,,,,ION=[M+H+H]2+,,,190295.64,151920.66,172049.93,138463.55,154808.14,162490.28,143261.84,182592.30,190295.64
542,381.69,1915.40483,,,,ION=[M+H+H]2+,,,120059.36,66529.11,106867.68,79527.97,0.00,120059.36,83679.05,118213.27,118710.73
543,381.70,736.36011,,,,ION=[M+H]+,,,8213.22,7557.61,4455.06,7004.57,7455.03,8213.22,4575.87,4446.72,4342.58
544,381.97,2135.53963,,,,ION=[M+H+H]2+,,,140496.81,136341.05,128880.17,132191.09,139486.66,137345.39,140496.81,129962.84,116180.87
545,382.36,709.38697,,,,ION=[M+H]+,,,7045.56,6528.91,3788.55,6017.25,6523.91,7045.56,3303.56,4305.12,3756.97
546,382.37,681.35496,,,,ION=[M+H]+,,,94554.54,88919.66,44533.58,80116.35,92088.10,94554.54,40703.94,45010.05,47886.74
547,382.43,1384.80752,,,,ION=[M+H+H]2+,,,6056.74,4747.41,3310.16,6056.74,4382.70,3802.78,3114.89,3278.62,3536.97
548,382.46,2091.51065,,,,ION=[M+H+H]2+,,,189868.41,185236.28,181055.73,177376.94,188463.48,189868.41,185456.58,185053.39,172657.23
549,382.54,826.19171,,,,ION=[M+H]+,,,10898.74,9769.16,4474.98,8076.88,10331.87,10898.74,4001.63,4435.68,4987.62
550,382.57,1025.24580,,,,ION=[M+H]+,,,68787.41,46544.44,26616.13,64094.24,68787.41,6751.66,7499.25,7642.00,64707.14
551,382.59,726.26642,,,,ION=[M+H]+,,,9228.99,8883.53,3466.42,8671.78,8749.81,9228.99,3364.70,3633.15,3401.41
552,382.61,653.32406,,,,ION=[M+H]+,,,422790.97,408782.98,144756.05,393680.41,422790.97,409877.56,147437.48,142109.81,144720.86
553,382.78,1294.57901,,,,ION=[M+H]+,,,15941.83,15354.71,1611.89,14683.21,15941.83,15439.08,2395.83,2439.85,0.00
554,384.28,450.26169,34.995,"N-cyclohexyl-1-[6-(4-methylphenyl)-6,8-dihydro-5H-imidazo[5,1-c][1,4]oxazine-1-carbonyl]piperidine-4-carboxamide","C26H34N4O3",ION=[M+H]+,,,5026.99,12.57,4919.15,0.00,0.00,37.72,5026.99,4736.98,4993.48
555,384.44,338.20946,,,,ION=[M+H]+,,,16647.38,66.91,15886.23,39.78,82.15,78.80,16647.38,14911.96,16099.34
